"Date","Value"
"01/31/1997",2.77
"02/28/1997",1.78
"03/31/1997",1.84
"04/30/1997",2.16
"05/30/1997",2.23
"06/30/1997",2.17
"07/31/1997",2.23
"08/29/1997",2.69
"09/30/1997",2.96
"10/31/1997",3.22
"11/26/1997",2.5
"12/31/1997",2.27
"01/30/1998",2.09
"02/27/1998",2.23
"03/31/1998",2.34
"04/30/1998",2.18
"05/29/1998",2.1
"06/30/1998",2.39
"07/31/1998",1.85
"08/31/1998",1.61
"09/30/1998",2.22
"10/30/1998",2
"11/30/1998",1.63
"12/31/1998",1.95
"01/29/1999",1.83
"02/26/1999",1.63
"03/31/1999",2.02
"04/30/1999",2.25
"05/28/1999",2.29
"06/30/1999",2.34
"07/30/1999",2.55
"08/31/1999",2.84
"09/30/1999",2.31
"10/29/1999",2.76
"11/30/1999",2.22
"12/30/1999",2.3
"01/31/2000",2.69
"02/29/2000",2.65
"03/31/2000",2.88
"04/28/2000",3.09
"05/31/2000",4.52
"06/30/2000",4.36
"07/31/2000",3.75
"08/31/2000",4.76
"09/29/2000",5.1
"10/31/2000",4.37
"11/30/2000",6.31
"12/29/2000",10.48
"01/31/2001",5.83
"02/28/2001",5.25
"03/30/2001",5.35
"04/30/2001",4.73
"05/31/2001",3.73
"06/29/2001",2.91
"07/31/2001",3.31
"08/31/2001",2.15
"09/28/2001",1.8
"10/31/2001",3.07
"11/30/2001",1.83
"12/31/2001",2.4
"01/31/2002",2.28
"02/28/2002",2.49
"03/28/2002",3.18
"04/30/2002",3.65
"05/31/2002",3.15
"06/28/2002",3.2
"07/31/2002",3.02
"08/30/2002",3.12
"09/30/2002",4.09
"10/31/2002",4.39
"11/27/2002",4.19
"12/31/2002",4.59
"01/31/2003",5.58
"02/28/2003",10.81
"03/31/2003",5.01
"04/30/2003",5.25
"05/30/2003",5.99
"06/30/2003",5.31
"07/31/2003",4.63
"08/29/2003",4.86
"09/30/2003",4.66
"10/31/2003",3.98
"11/26/2003",4.86
"12/31/2003",5.76
"01/30/2004",5.8
"02/27/2004",5.27
"03/31/2004",5.63
"04/30/2004",5.81
"05/28/2004",6.45
"06/30/2004",6.03
"07/30/2004",6.03
"08/31/2004",5.04
"09/30/2004",6.36
"10/29/2004",6.43
"11/30/2004",6.79
"12/30/2004",6.02
"01/31/2005",6.14
"02/28/2005",6.62
"03/31/2005",7.46
"04/29/2005",6.64
"05/31/2005",6.31
"06/30/2005",7.01
"07/29/2005",7.76
"08/31/2005",12.69
"09/22/2005",14.84
"10/31/2005",12.18
"11/30/2005",11.73
"12/30/2005",9.52
"01/31/2006",8.73
"02/28/2006",6.69
"03/31/2006",6.98
"04/28/2006",6.64
"05/31/2006",5.97
"06/30/2006",5.84
"07/31/2006",8.04
"08/31/2006",5.8
"09/29/2006",3.66
"10/31/2006",6.64
"11/30/2006",8.32
"12/29/2006",5.5
"01/31/2007",7.76
"02/28/2007",7.23
"03/30/2007",7.5
"04/30/2007",7.71
"05/31/2007",7.8
"06/29/2007",6.4
"07/31/2007",6.53
"08/31/2007",5.49
"09/28/2007",6.15
"10/31/2007",7.28
"11/30/2007",7.29
"12/31/2007",7.11
