Timestamp,Date,Measure,Tether USDt,USDC,USDS,Ethena USDe,USD1,Dai Stablecoin,Paypal USD,Falcon USD,Ripple USD,Global Dollar,USDtb,Usual USD,GHO,EURC,USDai,USX,First Digital USD,Binance-Peg BUSD,TrueUSD,FRAX,Neutrl USD,Avalon USDa,Dola,InfiniFi USD,M,Avant USD,USR,reUSD,Cap USD,CASH,StandX DUSD,MNEE USD,AUSD,Anzen USDz,EUR CoinVertible,Lista USD,Ondo U.S. Dollar Token,Cygnus Finance Global USD,JupUSD,Braza USDB,Unitas USD,Anchored Coins EUR,Fidelity Digital Dollar,Eurite Euro Token,OpenEden OpenDollar,BRZ,Quantoz USDQ,USDGO,Gemini Dollar,Pax Dollar,All Others (53 Items)
1511827200000,2017-11-28,Bridged Token Market Cap (Dollar),10005.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511913600000,2017-11-29,Bridged Token Market Cap (Dollar),10191.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512000000000,2017-11-30,Bridged Token Market Cap (Dollar),10089.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512086400000,2017-12-01,Bridged Token Market Cap (Dollar),10084.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512172800000,2017-12-02,Bridged Token Market Cap (Dollar),9996.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512259200000,2017-12-03,Bridged Token Market Cap (Dollar),9936.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512345600000,2017-12-04,Bridged Token Market Cap (Dollar),10017.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512432000000,2017-12-05,Bridged Token Market Cap (Dollar),10023.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512518400000,2017-12-06,Bridged Token Market Cap (Dollar),10093.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512604800000,2017-12-07,Bridged Token Market Cap (Dollar),10312.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512691200000,2017-12-08,Bridged Token Market Cap (Dollar),10175.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512777600000,2017-12-09,Bridged Token Market Cap (Dollar),10184.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512864000000,2017-12-10,Bridged Token Market Cap (Dollar),10166.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512950400000,2017-12-11,Bridged Token Market Cap (Dollar),10107.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513036800000,2017-12-12,Bridged Token Market Cap (Dollar),10740.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513123200000,2017-12-13,Bridged Token Market Cap (Dollar),10194.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513209600000,2017-12-14,Bridged Token Market Cap (Dollar),10114.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513296000000,2017-12-15,Bridged Token Market Cap (Dollar),10160.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513382400000,2017-12-16,Bridged Token Market Cap (Dollar),10074.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513468800000,2017-12-17,Bridged Token Market Cap (Dollar),10106.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513555200000,2017-12-18,Bridged Token Market Cap (Dollar),10142.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513641600000,2017-12-19,Bridged Token Market Cap (Dollar),10153.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513728000000,2017-12-20,Bridged Token Market Cap (Dollar),10005.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513814400000,2017-12-21,Bridged Token Market Cap (Dollar),10083.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
